n,time
50,11574410
100,21904825
150,33686120
200,43870820
250,56759500
300,66637625
350,91158130
400,123934895
450,151629165
500,183827650
550,204455245
600,225714045
650,256184835
700,274305220
750,290697560
800,306041225
850,323709055
900,339759385
950,358862925
1000,376462010
